"dota"
{
        "addon_game_name" "Survival Defense"
        "DOTA_Tooltip_ability_item_survival_growth_sword_04_Description" "英雄每次攻击增加4点攻击力  攻击200次使该武器进化"
        "DOTA_Tooltip_ability_item_survival_growth_sword_max" "weapon_growth_sword_max"
        "DOTA_Tooltip_ability_item_survival_growth_sword_max_Description" "英雄每次攻击增加5点攻击力  ＋吸血面罩 自动合成霜之剑刃"
        "DOTA_Tooltip_ability_item_survival_frost_blade_01" "weapon_frost_blade_01"
        "DOTA_Tooltip_ability_item_survival_frost_blade_01_Description" "英雄每次攻击增加6点攻击力 +50%吸血   攻击200次使该武器进化"
        "DOTA_Tooltip_ability_item_survival_frost_blade_02" "weapon_frost_blade_02"
        "DOTA_Tooltip_ability_item_survival_frost_blade_02_Description" "英雄每次攻击增加7点攻击力 +50%吸血   攻击300次使该武器进化"
        "DOTA_Tooltip_ability_item_survival_frost_blade_03" "weapon_frost_blade_03"
        "DOTA_Tooltip_ability_item_survival_frost_blade_03_Description" "英雄每次攻击增加8点攻击力 +50%吸血   攻击400次使该武器进化"
        "DOTA_Tooltip_ability_item_survival_frost_blade_04" "weapon_frost_blade_04"
        "DOTA_Tooltip_ability_item_survival_frost_blade_04_Description" "英雄每次攻击增加9点攻击力 +50%吸血   攻击500次使该武器进化"
        "DOTA_Tooltip_ability_item_survival_frost_blade_max" "weapon_frost_blade_max"
        "DOTA_Tooltip_ability_item_survival_frost_blade_max_Description" "英雄每次攻击增加10点攻击力 +50%吸血   +大极地晶石+霜之剑刃max+合成宝石=极寒之刃"
        "DOTA_Tooltip_ability_item_survival_ice_blade_01" "weapon_ice_blade_01"
        "DOTA_Tooltip_ability_item_survival_ice_blade_01_Description" "+50%吸血 +50%暴击2倍 每次造成伤害提高12点攻击力 全属性+2000  可通过击杀敌人升级武器"
        "DOTA_Tooltip_ability_item_survival_ice_blade_02" "weapon_ice_blade_02"
        "DOTA_Tooltip_ability_item_survival_ice_blade_02_Description" "+50%吸血 +50%暴击2倍 每次造成伤害提高13点攻击力 全属性+2500  可通过击杀敌人升级武器"
        "DOTA_Tooltip_ability_item_survival_ice_blade_03" "weapon_ice_blade_03"
        "DOTA_Tooltip_ability_item_survival_ice_blade_03_Description" "+50%吸血 +50%暴击2倍 全属性+3000 每次造成伤害提高14点攻击力  可通过击杀敌人升级武器"
        "DOTA_Tooltip_ability_item_survival_ice_blade_04" "weapon_ice_blade_04"
        "DOTA_Tooltip_ability_item_survival_ice_blade_04_Description" "+50%吸血 +50%暴击5倍 全属性+3500 每次造成伤害提高15点攻击力  可通过击杀敌人升级武器"
        "DOTA_Tooltip_ability_item_survival_ice_blade_max" "weapon_ice_blade_max"
        "DOTA_Tooltip_ability_item_survival_ice_blade_max_Description" "+50%吸血 +50%暴击5倍 全属性+5000 每次造成伤害提高16点攻击力  极寒之刃max＋狱火熔铠max＋冰魂焰魄 ＝  史诗：冰火裁决"
        "DOTA_Tooltip_ability_item_survival_epic_icefire_00" "weapon_epic_icefire_00"
        "DOTA_Tooltip_ability_item_survival_epic_icefire_00_Description" "增加属性  - 20W攻击力  - 400%攻速  - 100%吸血  - 80W生命值  - 500护甲  - 全属性+8000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害"
        "DOTA_Tooltip_ability_item_survival_epic_icefire_01" "weapon_epic_icefire_01"
        "DOTA_Tooltip_ability_item_survival_epic_icefire_01_Description" "增加属性  - 25W攻击力  - 400%攻速  - 100%吸血  - 85W生命值  - 550护甲  - 全属性+10000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害"
        "DOTA_Tooltip_ability_item_survival_epic_icefire_02" "weapon_epic_icefire_02"
        "DOTA_Tooltip_ability_item_survival_epic_icefire_02_Description" "增加属性  - 30W攻击力  - 400%攻速  - 100%吸血  - 90W生命值  - 600护甲  - 全属性+12000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害"
        "DOTA_Tooltip_ability_item_survival_epic_icefire_03" "weapon_epic_icefire_03"
        "DOTA_Tooltip_ability_item_survival_epic_icefire_03_Description" "增加属性  - 35W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 650护甲  - 全属性+15000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害"
        "DOTA_Tooltip_ability_item_survival_epic_icefire_04" "weapon_epic_icefire_04"
        "DOTA_Tooltip_ability_item_survival_epic_icefire_04_Description" "增加属性  - 40W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 700护甲  - 全属性+18000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害"
        "DOTA_Tooltip_ability_item_survival_epic_icefire_05" "weapon_epic_icefire_05"
        "DOTA_Tooltip_ability_item_survival_epic_icefire_05_Description" "增加属性  - 45W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 750护甲  - 全属性+20000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害"
        "DOTA_Tooltip_ability_item_survival_epic_icefire_06" "weapon_epic_icefire_06"
        "DOTA_Tooltip_ability_item_survival_epic_icefire_06_Description" "增加属性  - 50W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 800护甲  - 全属性+25000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害"
        "DOTA_Tooltip_ability_item_survival_legend_abyss_00" "weapon_legend_abyss_00"
        "DOTA_Tooltip_ability_item_survival_legend_abyss_00_Description" "增加属性  - 60W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 850护甲  - 全属性+30000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害"
        "DOTA_Tooltip_ability_item_survival_legend_abyss_01" "weapon_legend_abyss_01"
        "DOTA_Tooltip_ability_item_survival_legend_abyss_01_Description" "增加属性  - 70W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 850护甲  - 全属性+50000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害"
        "DOTA_Tooltip_ability_item_survival_legend_abyss_10" "weapon_legend_abyss_10"
        "DOTA_Tooltip_ability_item_survival_legend_abyss_10_Description" "增加属性  - 200W攻击力  - 400%攻速  - 100%吸血  - 200W生命值  - 850护甲  - 全属性+900000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害"
        "DOTA_Tooltip_ability_item_survival_legend_abyss_02" "weapon_legend_abyss_02"
        "DOTA_Tooltip_ability_item_survival_legend_abyss_02_Description" "增加属性  - 80W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 850护甲  - 全属性+100000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害"
        "DOTA_Tooltip_ability_item_survival_legend_abyss_03" "weapon_legend_abyss_03"
        "DOTA_Tooltip_ability_item_survival_legend_abyss_03_Description" "增加属性  - 90W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 850护甲  - 全属性+200000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害"
        "DOTA_Tooltip_ability_item_survival_legend_abyss_04" "weapon_legend_abyss_04"
        "DOTA_Tooltip_ability_item_survival_legend_abyss_04_Description" "增加属性  - 100W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 850护甲  - 全属性+300000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害"
        "DOTA_Tooltip_ability_item_survival_legend_abyss_05" "weapon_legend_abyss_05"
        "DOTA_Tooltip_ability_item_survival_legend_abyss_05_Description" "增加属性  - 110W攻击力  - 400%攻速  - 100%吸血  - 110W生命值  - 850护甲  - 全属性+400000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害"
        "DOTA_Tooltip_ability_item_survival_legend_abyss_06" "weapon_legend_abyss_06"
        "DOTA_Tooltip_ability_item_survival_legend_abyss_06_Description" "增加属性  - 120W攻击力  - 400%攻速  - 100%吸血  - 120W生命值  - 850护甲  - 全属性+500000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害"
        "DOTA_Tooltip_ability_item_survival_legend_abyss_07" "weapon_legend_abyss_07"
        "DOTA_Tooltip_ability_item_survival_legend_abyss_07_Description" "增加属性  - 130W攻击力  - 400%攻速  - 100%吸血  - 130W生命值  - 850护甲  - 全属性+600000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害"
        "DOTA_Tooltip_ability_item_survival_legend_abyss_08" "weapon_legend_abyss_08"
        "DOTA_Tooltip_ability_item_survival_legend_abyss_08_Description" "增加属性  - 140W攻击力  - 400%攻速  - 100%吸血  - 140W生命值  - 850护甲  - 全属性+700000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害"
        "DOTA_Tooltip_ability_item_survival_legend_abyss_09" "weapon_legend_abyss_09"
        "DOTA_Tooltip_ability_item_survival_legend_abyss_09_Description" "增加属性  - 150W攻击力  - 400%攻速  - 100%吸血  - 150W生命值  - 850护甲  - 全属性+800000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害"
        "npc_dota_unit_building_hero_altar" "Hero Altar"

        "building_arrow_tower" "Arrow Tower"
        "building_gold_mine" "Gold Mine"
        "building_hero_altar" "Hero Altar"
        "building_main_city" "Main City"
        "building_wall" "Wall"
        "enemy_tree" "Resource Tree"
        "npc_survival_lumberjack" "Lumberjack"
        "npc_survival_builder_proxy" "Builder"
        "npc_survival_repairer" "Repairer"
        "npc_survival_wave_monster" "Wave Monster"
        "zombie_basic" "zombie_basic"
        "zombie_boss" "zombie_boss"
        "DOTA_Tooltip_ability_ability_build_arrow_tower_Description" "Builds a tower that automatically attacks enemies. At Level 5, the tower can choose a class."
        "DOTA_Tooltip_ability_ability_build_gold_mine" "Build Gold Mine"
        "DOTA_Tooltip_ability_ability_build_gold_mine_Description" "Unlocks at Main City Level 3. Produces gold each second and can improve collection efficiency and critical collection chance."
        "DOTA_Tooltip_ability_ability_build_hero_altar_Description" "Unlocks at Main City Level 3. Summons one combat hero; after summoning, the altar stops working and unlocks the shop."
        "DOTA_Tooltip_ability_ability_build_main_city_Description" "Builds the Main City, which can be upgraded and can train Lumberjacks."
        "DOTA_Tooltip_ability_ability_build_research_lab" "Build Research Lab"
        "DOTA_Tooltip_ability_ability_build_research_lab_Description" "Unlocked after the main city is completed. Construction costs are read from the building CSV."
        "DOTA_Tooltip_ability_ability_build_advanced_research_lab" "Build Advanced Research Lab"
        "DOTA_Tooltip_ability_ability_build_advanced_research_lab_Description" "Replaces the W-slot build skill after the standard Research Lab is completed. Available at Main City Level 4, costs 100 wood, and displays ARS-01 through ARS-10 in a two-row ability grid."
        "DOTA_Tooltip_ability_ability_open_research" "Open Advanced Research"
        "DOTA_Tooltip_ability_ability_open_research_Description" "Opens the Advanced Research Lab catalog for ARS-01 through ARS-10 and team auto-research."
        "DOTA_Tooltip_ability_ability_research_lumberjack_speed" "Research Lumberjack Speed"
        "DOTA_Tooltip_ability_ability_research_advanced_lumberjack_speed" "Research Advanced Lumberjack Speed"
        "DOTA_Tooltip_ability_ability_research_lumberjack_crit" "Research Lumberjack Critical Gathering"
        "DOTA_Tooltip_ability_ability_research_lumberjack_efficiency" "Research Lumberjack Efficiency"
        "DOTA_Tooltip_ability_ability_research_advanced_lumberjack_efficiency" "Research Advanced Lumberjack Efficiency"
        "DOTA_Tooltip_ability_ability_research_tower_attack" "Research Tower Attack"
        "DOTA_Tooltip_ability_ability_research_advanced_tower_attack" "Research Advanced Tower Attack"
        "DOTA_Tooltip_ability_ability_research_wall_health" "Research Wall Health"
        "DOTA_Tooltip_ability_ability_research_advanced_wall_health" "Research Advanced Wall Health"
        "DOTA_Tooltip_ability_ability_research_ars_01" "Lumberjack Attack Growth"
        "DOTA_Tooltip_ability_ability_research_ars_02" "Lumberjack Armor Reduction"
        "DOTA_Tooltip_ability_ability_research_ars_03" "Super Wall Health"
        "DOTA_Tooltip_ability_ability_research_ars_04" "Super Wall Armor"
        "DOTA_Tooltip_ability_ability_research_ars_05" "Super Tower Attack"
        "DOTA_Tooltip_ability_ability_research_ars_06" "Super Tower Range"
        "DOTA_Tooltip_ability_ability_research_ars_07" "Super Tower Critical Strike"
        "DOTA_Tooltip_ability_ability_research_ars_08" "Hero Final Damage"
        "DOTA_Tooltip_ability_ability_research_ars_09" "Hero Armor Reduction"
        "DOTA_Tooltip_ability_ability_research_ars_10" "Hero Attack"
        "Survival_ResearchTooltip_Description" "Researches the next level. Each level grants: {effect}"
        "Survival_ResearchField_CurrentLevel" "Current level"
        "Survival_ResearchField_CurrentEffect" "Current effect"
        "Survival_ResearchField_NextEffect" "After research"
        "Survival_ResearchField_Prerequisite" "Prerequisite"
        "Survival_ResearchField_None" "None"
        "Survival_ResearchEffect_LumberjackSpeed" "Lumberjack attack speed"
        "Survival_ResearchEffect_LumberjackCrit" "Critical gathering chance"
        "Survival_ResearchEffect_LumberjackEfficiency" "Wood per gather"
        "Survival_ResearchEffect_TowerAttack" "Tower attack"
        "Survival_ResearchEffect_WallHealth" "Wall maximum health"
        "Survival_ResearchStatus_Available" "Available to research"
        "Survival_ResearchStatus_MaxLevel" "Maximum level reached"
        "Survival_ResearchStatus_ResearchingCurrent" "Research in progress"
        "Survival_ResearchStatus_ResearchingOther" "Another team research is in progress"
        "Survival_ResearchStatus_Prerequisite" "Prerequisite not met"
        "DOTA_Tooltip_ability_ability_build_wall_Description" "Builds a wall at the target location. Only one wall can be built, and it can be selected and upgraded."
        "DOTA_Tooltip_ability_ability_building_blink" "Building Blink"
